data {
 x, y
456, 12.353
457, 12.352
458, 12.352
459, 12.351
460, 12.35
461, 12.35
462, 12.349
463, 12.349
464, 12.348
465, 12.347
466, 12.347
467, 12.346
468, 12.346
469, 12.345
470, 12.345
471, 12.344
472, 12.343
473, 12.343
474, 12.342
475, 12.342
476, 12.341
477, 12.341
478, 12.34
479, 12.34
480, 12.339
481, 12.339
482, 12.338
483, 12.338
484, 12.337
485, 12.337
486, 12.336
487, 12.336
488, 12.335
489, 12.335
490, 12.334
491, 12.334
492, 12.333
493, 12.333
494, 12.332
495, 12.332
496, 12.332
497, 12.331
498, 12.331
499, 12.33
500, 12.33
501, 12.329
502, 12.329
503, 12.329
504, 12.328
505, 12.328
506, 12.327
507, 12.327
508, 12.327
509, 12.326
510, 12.326
511, 12.326
512, 12.325
513, 12.325
514, 12.325
515, 12.324
516, 12.324
517, 12.324
518, 12.323
519, 12.323
520, 12.323
521, 12.322
522, 12.322
523, 12.322
524, 12.321
525, 12.321
526, 12.321
527, 12.321
528, 12.32
529, 12.32
530, 12.32
531, 12.32
532, 12.319
533, 12.319
534, 12.319
535, 12.319
536, 12.318
537, 12.318
538, 12.318
539, 12.318
540, 12.318
541, 12.317
542, 12.317
543, 12.317
544, 12.317
545, 12.317
546, 12.317
547, 12.316
548, 12.316
549, 12.316
550, 12.316
551, 12.316
552, 12.316
553, 12.316
554, 12.316
555, 12.315
556, 12.315
557, 12.315
558, 12.315
559, 12.315
560, 12.315
561, 12.315
562, 12.315
563, 12.315
564, 12.315
565, 12.315
566, 12.315
567, 12.315
568, 12.315
569, 12.314
570, 12.314
571, 12.314
572, 12.314
573, 12.314
574, 12.314
575, 12.314
576, 12.314
577, 12.314
578, 12.314
579, 12.314
580, 12.314
581, 12.314
582, 12.314
583, 12.314
584, 12.315
585, 12.315
586, 12.315
587, 12.315
588, 12.315
589, 12.315
590, 12.315
591, 12.315
592, 12.315
593, 12.315
594, 12.315
595, 12.315
596, 12.316
597, 12.316
598, 12.316
599, 12.316
600, 12.316
601, 12.316
602, 12.316
603, 12.316
604, 12.317
605, 12.317
606, 12.317
607, 12.317
608, 12.317
609, 12.317
610, 12.318
611, 12.318
612, 12.318
613, 12.318
614, 12.318
615, 12.319
616, 12.319
617, 12.319
618, 12.319
619, 12.319
620, 12.32
621, 12.32
622, 12.32
623, 12.32
624, 12.321
625, 12.321
626, 12.321
627, 12.321
628, 12.322
629, 12.322
630, 12.322
631, 12.323
632, 12.323
633, 12.323
634, 12.324
635, 12.324
636, 12.324
637, 12.325
638, 12.325
639, 12.325
640, 12.326
641, 12.326
642, 12.326
643, 12.327
644, 12.327
645, 12.328
646, 12.328
647, 12.328
648, 12.329
649, 12.329
650, 12.33
651, 12.33
652, 12.331
653, 12.331
654, 12.331
655, 12.332
656, 12.332
657, 12.333
658, 12.333
659, 12.334
660, 12.334
661, 12.335
662, 12.335
663, 12.336
664, 12.336
665, 12.337
666, 12.337
667, 12.338
668, 12.338
669, 12.339
670, 12.339
671, 12.34
672, 12.34
673, 12.341
674, 12.341
675, 12.342
676, 12.342
677, 12.343
678, 12.343
679, 12.344
680, 12.344
681, 12.345
682, 12.346
683, 12.346
684, 12.347
685, 12.347
686, 12.348
687, 12.349
688, 12.349
689, 12.35
690, 12.35
691, 12.351
692, 12.352
693, 12.352
694, 12.353
695, 12.354
696, 12.354
697, 12.355
698, 12.356
699, 12.356
700, 12.357
701, 12.358
702, 12.358
703, 12.359
704, 12.36
705, 12.361
706, 12.361
707, 12.362
708, 12.363
709, 12.363
710, 12.364
711, 12.365
712, 12.366
713, 12.366
